"Year";"month";"SOI";"P";"Panomaly"
1916;"Aug";16.2;36.91;8.4
1916;"Sep";4.5;38.37;12.14
1916;"Oct";6.1;67.11;30.82
1916;"Nov";9.8;83.32;36.01
1916;"Dec";15.4;140.57;68.67
1917;"Jan";5.1;126.94;26.05
1917;"Feb";10;115.57;26.51
1917;"Mar";18.1;89.03;14.31
1917;"Apr";21.8;20.04;-25.55
1917;"May";21.8;28.77;-11.67
1917;"Jun";21.2;29.71;-0.46
1917;"Jul";28.3;28.5;-3.68
1917;"Aug";34.8;41.12;12.61
1917;"Sep";29.7;59.86;33.63
1917;"Oct";15.2;42.71;6.42
1917;"Nov";21;125.91;78.6
1917;"Dec";22.5;75.73;3.83
1918;"Jan";14.6;214.35;113.46
1918;"Feb";16.6;92.04;2.98
1918;"Mar";-2;46.95;-27.77
1918;"Apr";16.8;42.26;-3.33
1918;"May";10;30.81;-9.63
1918;"Jun";-4.7;16.66;-13.51
1918;"Jul";-14.1;21.71;-10.47
1918;"Aug";-4.4;36.87;8.36
1918;"Sep";-8.2;11.55;-14.68
1918;"Oct";-5;16.78;-19.51
1918;"Nov";1.3;24.62;-22.69
1918;"Dec";-8;32.75;-39.15
1919;"Jan";-14.9;68.77;-32.12
1919;"Feb";-11.2;85.59;-3.47
1919;"Mar";-12.8;44.75;-29.97
1919;"Apr";-3;33.78;-11.81
1919;"May";-7.4;49.46;9.02
1919;"Jun";-10.4;15.63;-14.54
1919;"Jul";-8.9;10.44;-21.74
1919;"Aug";-6.9;18.06;-10.45
1919;"Sep";-5.8;13.43;-12.8
1919;"Oct";-10.5;12.78;-23.51
1919;"Nov";-11.3;11.85;-35.46
1919;"Dec";-9.1;44.74;-27.16
1920;"Jan";1.8;125.66;24.77
1920;"Feb";-1.7;57.96;-31.1
1920;"Mar";-4.1;28.96;-45.76
1920;"Apr";0.3;49.89;4.3
1920;"May";-2.7;49.75;9.31
1920;"Jun";6.6;61.02;30.85
1920;"Jul";9.4;61.66;29.48
1920;"Aug";5.3;39.42;10.91
1920;"Sep";5.1;41.92;15.69
