"time"	"median"	"lower"	"upper"	"component"
1782	0.257937	-0.79812575	1.208313	"HCI2"
1783	-0.212118	-1.453961	1.090118	"HCI2"
1784	-0.104878	-2.0674945	1.1948425	"HCI2"
1785	-0.0157841	-1.8376025	1.5792365	"HCI2"
1786	-0.163032	-1.567163	1.154854	"HCI2"
1787	0.02265205	-2.30182	1.9754405	"HCI2"
1788	-1.32142	-3.1473435	0.1248029	"HCI2"
1789	-0.3116355	-1.427375	0.85174135	"HCI2"
1790	-1.30769	-2.1775695	-0.525688050000001	"HCI2"
1791	0.3749845	-0.71530685	1.71807	"HCI2"
1792	0.2193635	-0.9010396	1.5909765	"HCI2"
1793	0.112614	-1.3078005	1.3993825	"HCI2"
1794	0.1430785	-1.0781575	1.5965235	"HCI2"
1795	0.08123095	-1.483973	1.9260115	"HCI2"
1796	0.471869	-0.6739512	1.7151875	"HCI2"
1797	-0.0425402	-1.470626	1.220357	"HCI2"
1798	0.281931	-0.96382855	1.479225	"HCI2"
1799	0.3295285	-0.95060135	1.8118435	"HCI2"
1800	0.06249	-1.3759255	1.4096455	"HCI2"
1801	1.000427	-0.3217396	2.489304	"HCI2"
1802	-0.19337	-1.342804	1.035296	"HCI2"
1803	-0.144616	-1.0217255	0.9945941	"HCI2"
1804	0.001251905	-1.453144	1.312881	"HCI2"
1805	-0.00996087	-1.36715	1.257096	"HCI2"
1806	0.275247	-0.9161519	1.4131235	"HCI2"
1807	-0.0122608	-1.733022	1.636648	"HCI2"
1808	0.537376	-0.70818585	1.655151	"HCI2"
1809	0.10115935	-1.238931	1.4068335	"HCI2"
1810	0.1415325	-1.261116	2.383431	"HCI2"
1811	0.245432	-1.085483	1.4552095	"HCI2"
1812	0.6567	-0.5264731	1.8739535	"HCI2"
1813	0.7872565	-0.3927852	2.206017	"HCI2"
1814	-0.1107135	-1.97417	1.563797	"HCI2"
1815	0.5171265	-1.093468	1.823581	"HCI2"
1816	1.08478	0.010660414	2.0297905	"HCI2"
1817	0.8228685	-0.5084763	2.0445	"HCI2"
1818	-0.07425425	-1.8519675	1.2667185	"HCI2"
1819	-0.09456475	-1.7052445	1.191576	"HCI2"
1820	-0.4650295	-1.9723045	1.275812	"HCI2"
1821	0.13237	-1.206412	1.4806515	"HCI2"
1822	0.6279865	-0.60204685	2.364769	"HCI2"
1823	0.0895751	-1.1574535	1.6355565	"HCI2"
1824	0.1053035	-1.173159	1.5025065	"HCI2"
1825	-1.08872	-2.086094	-0.35391755	"HCI2"
1826	-0.1896815	-1.4004815	1.1452465	"HCI2"
1827	0.5798745	-0.7239422	1.782772	"HCI2"
1828	0.2080725	-1.055805	1.7048485	"HCI2"
1829	0.428092	-0.7074418	1.60528	"HCI2"
1830	0.2503315	-0.98599565	1.5078635	"HCI2"
1831	-0.01976575	-1.6865325	1.294079	"HCI2"
1832	-2.15244	-3.7697845	-0.8961107	"HCI2"
1833	-0.1073025	-1.3231865	1.3682405	"HCI2"
1834	-0.419063	-1.210749	0.499474	"HCI2"
1835	0.232829	-0.8272482	1.630327	"HCI2"
1836	0.1304405	-1.26713	1.8533665	"HCI2"
1837	0.1118765	-1.280316	1.5991855	"HCI2"
1838	0.08668505	-1.13739	1.547218	"HCI2"
1839	0.9542515	-0.2381187	2.1762165	"HCI2"
1840	2.65294	1.8665125	3.5377585	"HCI2"
1841	0.2571725	-1.272389	1.5575885	"HCI2"
1842	0.09750295	-0.6412266	0.8556549	"HCI2"
1843	1.26976	0.41498485	2.1387835	"HCI2"
1844	-0.462313	-1.2415405	0.39384175	"HCI2"
1845	0.286149	-1.084527	1.4596365	"HCI2"
1846	-1.43514	-2.01312	-0.8759264	"HCI2"
1847	-0.239067	-1.8849855	1.0511485	"HCI2"
1848	0.02608475	-1.239652	0.99074695	"HCI2"
1849	0.5582935	-0.62600555	1.479321	"HCI2"
1850	0.0162065	-1.0657895	1.180237	"HCI2"
1851	-0.231141	-1.1372295	0.7173312	"HCI2"
1852	0.455974	-0.82048295	1.730295	"HCI2"
1853	0.01712875	-1.193248	1.3316975	"HCI2"
1854	-0.911773	-1.88209	0.2714553	"HCI2"
1855	0.358666	-0.1318635	0.871810499999999	"HCI2"
1856	0.0961101	-0.9470177	1.0539065	"HCI2"
1857	-0.049736	-1.5774365	1.1483245	"HCI2"
1858	-0.03256345	-1.0892705	1.271212	"HCI2"
1859	0.6478615	-0.4804768	1.605942	"HCI2"
1860	0.168753	-0.8912747	1.16482	"HCI2"
1861	-0.0662552	-1.205894	1.215402	"HCI2"
1862	0.0671939	-1.261482	1.589797	"HCI2"
1863	0.05545075	-1.203051	1.2176765	"HCI2"
1864	-0.312386	-1.466302	0.74164535	"HCI2"
1865	0.267556	-1.1022005	1.4712795	"HCI2"
1866	-2.023585	-2.8045825	-1.418344	"HCI2"
1867	0.1129345	-1.544795	1.247986	"HCI2"
1868	-2.365625	-3.244436	-1.65275	"HCI2"
1869	0.05854875	-1.0876335	1.24399	"HCI2"
1870	-0.0410078	-1.1512455	1.102762	"HCI2"
1871	0.8387645	-0.03738238	1.559304	"HCI2"
1872	-0.5224235	-1.098331	0.0658935049999995	"HCI2"
1873	-0.1468275	-1.446156	1.137269	"HCI2"
1874	-1.259845	-1.9479445	-0.270907200000001	"HCI2"
1875	-0.5699165	-1.256143	0.2146448	"HCI2"
1876	0.00733586	-1.219579	1.1480315	"HCI2"
1877	0.05525045	-1.1023785	1.2090555	"HCI2"
1878	-0.360253	-1.255331	0.61171845	"HCI2"
1879	1.52852	0.28110205	2.673225	"HCI2"
