"time"	"HCI1"	"uHCI1"	"HCI2"	"uHCI2"	"HCI3"	"uHCI3"
1950	-0.1783865	1.1460293	-0.6762495	2.2931512	0.241951	1.9980746
1951	0.752434	0.6199318	-0.713525	2.1801029	0.816891	3.0391066
1952	0.7185945	0.71032595	0.02954505	1.6718738	-1.28223	1.9406092
1953	-0.8726635	1.12071395	-0.563367	2.30395705	0.690824	1.9424016
1954	1.563705	0.445135	0.8707785	1.05512555	0.733466	1.2479049
1955	-0.6102475	1.13811225	0.412903	1.9914453	0.799964	2.1553412
1956	0.9980425	0.5986703	0.838584	1.33549955	0.653905	1.25411568
1957	0.471159	0.722983655	-0.1985145	1.5927783	0.336155	1.4422698
1958	0.5819345	0.6645156	0.434892	1.5023381	2.09258	1.502484
1959	-0.394943	0.90036058	-1.351915	1.92885645	0.94351	1.70660618
1960	1.101035	0.5323792	0.1730895	1.3686196	0.0911068	1.1731864
1961	1.40751	0.510218	-0.6100445	1.36231305	-1.06729	1.2818702
1962	-0.05993475	0.8160528	-0.9515825	1.66832304	1.81439	1.065078
1963	-0.1236995	0.8510074	0.185467	1.7455489	1.57614	1.3871786
1964	-1.269335	0.73932775	-0.1971895	1.03457865	-0.766839	1.1110242
1965	0.955909	0.54163545	-0.333349	1.5272453	0.599232	1.136475
1966	0.360226	0.48527635	-0.009545795	0.8447388	-0.517447	1.09583768
1967	0.212498	0.50137646	-0.4148945	0.703105225	-1.14146	0.8792372
1968	0.215558	0.4082750995	-0.8697395	0.7087028	0.239814	0.6990498
1969	0.623778	0.35671825	-0.373562	0.5472433	-0.979988	0.9243834
1970	-1.047935	0.52783905	0.3487315	0.562418575	1.74468	0.963808
1971	-1.62404	0.5982555	1.64947	0.81895	2.04568	1.123872
1972	-1.21249	0.54062835	-0.528474	0.6175859	0.333018	0.86817754
1973	0.1823235	0.412895075	-0.024187	0.8010624	1.43612	0.993768199999999
1974	-0.1541145	0.417068	0.3178155	0.550458515	0.354524	0.723910508
1975	-1.560245	0.5596235	-0.5336755	0.51506165	-0.0914137	0.709389
1976	1.632005	0.339376	-0.4776535	0.61049925	0.894461	0.881505
1977	1.070835	0.37893025	-0.332626	0.579197585	0.394663	0.75645324
1978	0.587487	0.40219095	-0.119097	0.53740065	-0.498462	0.7994898
1979	0.692229	0.35825875	-0.5207355	0.55210505	-0.716707	0.9865002
1980	0.3899395	0.41356555	-0.6760615	0.5803528	-0.0874889	0.7240048
1981	1.88884	0.3683225	-0.4742855	0.5402794	0.0908106	0.6632804
1982	2.598445	0.3892905	-0.258766	0.48626143	-0.911608	0.8410802
1983	0.3034875	0.402870265	-0.186061	0.64655335	-0.980176	0.8891528
1984	0.2732525	0.411429465	0.2624675	0.49178707	1.11039	0.729628
1985	0.237632	0.383581245	-0.45208	0.54985395	-0.673934	0.6452846
1986	-0.935079	0.4961519	0.02813305	0.58657705	-1.24952	0.829719199999999
1987	1.512545	0.39474	0.5581355	0.68177435	0.429857	0.7665544
1988	-1.118455	0.48287105	-0.3098815	0.551684755	-0.928128	0.8235806
1989	0.540934	0.4652728	0.2157515	0.77326275	-1.86593	1.004262
1990	-0.6746425	0.48133265	0.314211	0.58757731	-0.577041	0.7543746
1991	-1.75351	0.5810665	-0.620046	0.61535835	-0.468449	0.90032422
1992	0.632526	0.40341025	0.7905865	0.57839445	1.14086	0.7738994
1993	1.83705	0.344199	-0.365687	0.50550605	-0.764149	0.800872
1994	1.783595	0.4099745	2.370515	1.1330595	-0.444766	0.76196502
1995	-0.5063535	0.47864305	-0.3401105	0.58934879	1.24821	0.871203599999999
1996	-0.254178	0.42071092	-0.474287	0.6001153	-0.51639	0.852542279999999
1997	0.271149	0.40576595	-0.441758	0.5397637	0.615561	0.7483444
1998	0.303346	0.423308695	0.6002085	0.55482965	-2.3585	1.19999
1999	1.9098	0.429215	0.9582275	0.59876505	-0.450307	0.68714562
2000	2.058015	0.4798395	3.144115	1.1298645	-0.28969	0.72480614
2001	-0.981188	0.5295522	0.5668065	0.5376309	-1.97844	1.177522
2002	1.27526	0.4025585	-0.1418405	0.463939745	0.872928	0.8801472
2003	1.59758	0.380982	-1.071065	0.8260085	1.2265	0.891933399999999
