"ID";"River_station";"CatchmentArea_km2";"XLambert.II";"YLambert.II";"Elevation";"first_data";"last_data";"Lat";"Lon";"HER_Original";"XG";"YG";"HER_Clustered";"S";"P10";"DD";"Zmean";"name2"
"O3364010";"La Dourbie à Nant [Pont de Gardies]";300;676468;1897287;433;1962;2009;44.07277734;3.2902005;19;679117.8125;1889690;8;326.99991;137.54614;879.84406;845.95105;"La Dourbie à Nant "
"O3454310";"La Muze à Montjaux [St-Hippolyte]";112;646915;1897988;330;1968;2010;44.08167847;2.92172723;3;648203.375;1908067.75;3;118.00007;87.17365;985.67798;789.7627;"La Muze à Montjaux "
"O4102510";"L'AGOUT à FRAISSE-SUR-AGOUT";48;638444;1846445;792;1951;2009;43.61885697;2.81218802;8;642280;1847140;8;50;182.9626;1479.18005;995.09998;"L'Agout à Fraisse-sur-Agout"
"O4704030";"Le Dadou a Paulinet [St-Jean-de-Jeanne]";72;608382;1868950;413;1968;2008;43.82214053;2.44063835;-9999;-9999;-9999;3;-9999;-9999;-9999;-9999;"Le Dadou à Paulinet "
"O5042510";"LAveyron à Palmas [Pont de Manson]";270;640615;1933243;580;1968;2010;44.39906887;2.84599748;19;655131;1926197.25;8;271.00003;83.23937;510;798.78967;"L'Aveyron à Palmas "
"O5055010";"Le Serre a Coussergues [Resuenhe]";110;642715;1935107;580;1967;2008;44.41570528;2.87249626;-9999;-9999;-9999;3;-9999;-9999;-9999;-9999;"Le Serre à Coussergues "
"O5224010";"LAlzou à Villefranche-de-Rouergue [Barrage Cabal]";199;577091;1928453;405;1942;2010;44.35679769;2.04943182;3;587246.3125;1935032;3;201.00005;62.93537;1080.64673;478.07462;"L'Alzou à Villefranche-de-Rouergue "
"O5284310";"La Serene a Saint-Andre-de-Najac [Canabral]";103;576566;1912000;305;1968;2008;44.20883627;2.04362201;-9999;-9999;-9999;3;-9999;-9999;-9999;-9999;"La Serène à Saint-André-de-Najac "
"O5312910";"Le Viaur à Arques";138;637142;1923154;732;1953;2004;44.30854029;2.80168879;3;642637.75;1920354.75;3;138.00008;82.93036;864.52899;886.3551;"Le Viaur à Arques"
"O5344010";"LE VIOULOU à SALLES-CURAN [TREBONS-BAS]";57;638138;1912229;806;1960;2009;44.21025243;2.81333252;3;641800;1911266.625;3;60.00003;85.19767;913.98334;929.81665;"Le Vioulou à Salles-Curan "
"O5464310";"Le Giffou à Saint-Just-sur-Viaur [La Fabrèguerie]";175;607872;1900836;360;1968;2010;44.10880788;2.4347979;3;616821.8125;1898707;3;173.99998;70.53288;1257.47131;601.25861;"Le Giffou à Saint-Just-sur-Viaur "
"O6804630";"LOsse à Castex [Mielan]";10.2;436738;1823996;238;1965;2006;43.39935033;0.32427711;14;436500;1822000;11;8;57.75;953.375;288.375;"L'Osse à Castex "
"O7041510";"Le Lot à Balsièges [Bramonas]";465;686700;1943100;663;1966;2009;44.4834955;3.4257006;19;699188.9375;1945757.625;8;466.00018;93.64317;1001.38409;1110.49353;"Le Lot à Balsièges "
"O7354010";"LA LANDER à SAINT-GEORGES";310;662432;2001559;749;1956;2009;45.01185201;3.12825735;3;656496.8125;2006264.75;3;301.99994;68.20377;904.4801;975.07947;"La Lander à Saint-Georges"
"O7444010";"LE BES à SAINT-JUERY";283;659260;1980900;917;1956;2009;44.82631849;3.08554144;3;656265.9375;1964897.125;3;282.00003;89.02819;1055.82983;1204.36523;"Le Bès à Saint-Juéry"
